Tag,Mass,Mass_Difference,ID,Sex,Day,Cage,Block,Social,Pairing,GUD,Harvested,Duration_foraged_per_day,Proportion_foraged,Visits,Visit_mean_duration,Trial,Marked,Cuddled,Start_Date,End_Date,Start_Time,End_Time,Initial_Patch_Mass,Final_Patch_Mass,Total_Harvested,Per_Capita_GUD,Tupperware,Tupperware_beads,Smoothie,Topping,Topping_Mass
0007E71B16,139.3,NA,M1,M,1,1,1,N,MM,102.3,110.9,NA,NA,NA,NA,1,NA,NA,5/15/2023,5/16/2023,12:45,11:00,324.8,213.9,197.7,114.25,27.4,111.6,200.4,G,NA
0007E8DC8E,121.2,NA,M2,M,1,2,1,N,MM,126.2,86.8,1276.308,NA,87,14.67,1,NA,NA,5/15/2023,5/16/2023,12:45,11:00,324.6,237.8,197.7,114.25,27.4,111.6,200.5,G,NA
0007E71B16,134.3,-5,M1,M,2,1,1,Y,MM,175.2,36,2087.398,0.523881505,37,34.6205,1,Y,Y,5/16/2023,5/17/2023,12:00,10:15,327.3,291.3,252,87.6,28.1,116.1,200.7,G,NA
0007E8DC8E,118,-3.2,M2,M,2,2,1,Y,MM,0,216,1897.087,0.476118495,86,18.38,1,N,Y,5/16/2023,5/17/2023,12:00,10:15,339.5,123.5,252,87.6,27.8,126.3,202,G,NA
0007E6FCD3,123.2,NA,F2,F,3,1,1,N,FF,94,113.5,589.26,0.294752765,78,7.555,1,NA,NA,5/17/2023,5/18/2023,11:30,11:48,341.8,228.3,216.3,100.7,38.4,134.3,200.5,G,NA
3D6.15346D6AF8,129.1,NA,F1,F,3,2,1,N,FF,107.4,102.8,1409.907,0.705247235,66,21.362,1,NA,NA,5/17/2023,5/18/2023,11:30,11:48,338.7,235.9,216.3,100.7,37.9,128.5,200.9,G,NA
0007E6FCD3,117.1,-6.1,F2,F,4,1,1,Y,FF,99.5,136.2,810.88,0.412014516,59,14.2465,1,Y,Y,5/18/2023,5/19/2023,12:45,11:15,361.9,225.7,268.5,97.95,38.8,126.2,201.8,G,NA
3D6.15346D6AF8,124.1,-5,F1,F,4,2,1,Y,FF,96.4,132.3,1157.206,0.587985484,58,19.73,1,N,Y,5/18/2023,5/19/2023,12:45,11:15,352.6,220.3,268.5,97.95,38,123.9,200.8,G,NA
0007E6FCD3,123.6,NA,F2,F,5,1,1,N,MF,135.6,105.2,540.817,0.387738583,66,8.194,2,NA,NA,5/22/2023,5/23/2023,12:45,11:15,366.1,260.9,209.7,133.05,38.3,125.3,202.8,G,NA
0007E8DC8E,123.2,NA,M2,M,5,2,1,N,MF,130.5,104.5,853.981,0.612261417,63,13.555,2,NA,NA,5/22/2023,5/23/2023,12:45,11:15,357.5,253,209.7,133.05,37.6,122.5,200.4,G,NA
0007E6FCD3,117.9,-5.7,F2,F,6,1,1,Y,MF,116.6,109.5,488.7,0.484821429,62,7.623,2,Y,Y,5/23/2023,5/24/2023,12:00,10:45,346.4,236.9,244.1,100.8,38.9,120.3,203,G,NA
0007E8DC8E,119.8,-3.4,M2,M,6,2,1,Y,MF,85,134.6,519.3,0.515178571,67,10.2705,2,N,Y,5/23/2023,5/24/2023,12:00,10:45,338.4,203.8,244.1,100.8,38.1,118.8,200,G,NA
0007E71B16,137.8,NA,M1,M,7,1,1,N,MF,91,142.2,334.95,0.548244537,49,6.836,2,NA,NA,5/24/2023,5/25/2023,12:00,11:00,353.8,211.6,245.9,109.95,39.2,120.6,201.5,G,NA
3D6.15346D6AF8,131.5,NA,F1,F,7,2,1,N,MF,128.9,103.7,276,0.451755463,55,5.018,2,NA,NA,5/24/2023,5/25/2023,12:00,11:00,352.9,249.2,245.9,109.95,38.1,120.3,200.4,G,NA
0007E71B16,134.9,-2.9,M1,M,8,1,1,Y,MF,98.8,132.6,324.382,0.615485908,27,9.849,2,Y,Y,5/25/2023,5/26/2023,12:00,11:30,354.7,222.1,262.4,100.25,39,123.3,201.4,G,NA
3D6.15346D6AF8,126.1,-5.4,F1,F,8,2,1,Y,MF,101.7,129.8,202.652,0.384514092,27,5.2985,2,N,Y,5/25/2023,5/26/2023,12:00,11:30,352.6,222.8,262.4,100.25,38.2,121.1,201.5,G,NA
0007E6FCD3,126.7,NA,F2,F,9,1,1,N,MF,92.9,124.7,409.25,0.493758792,74,5.53,3,NA,NA,5/29/2023,5/30/2023,12:30,11:30,333.5,208.8,262,87.1,38.3,115.9,200.6,G,NA
0007E71B16,135.4,NA,M1,M,9,2,1,N,MF,81.3,137.3,419.596,0.506241208,45,9.324,3,NA,NA,5/29/2023,5/30/2023,12:30,11:30,335.2,197.9,262,87.1,37.6,116.6,202.6,G,NA
0007E6FCD3,122.8,-3.9,F2,F,10,1,1,Y,MF,125.3,102.1,140.234,0.584184194,29,9.8975,3,N,N,5/30/2023,5/31/2023,12:30,10:30,348.5,246.4,248.7,102.25,39,121.1,202.6,G,NA
0007E71B16,134,-1.4,M1,M,10,2,1,Y,MF,79.2,146.6,99.817,0.415815806,11,7.3705,3,Y,N,5/30/2023,5/31/2023,12:30,10:30,344.6,198,248.7,102.25,38.1,118.8,201.4,G,NA
0007E8DC8E,125.3,NA,M2,M,11,1,1,N,MF,116.4,120.2,337.25,0.529144112,63,5.353,3,NA,NA,5/31/2023,6/1/2023,12:00,11:30,356.1,235.9,229.4,119.65,38.8,119.5,203.7,M,NA
3D6.15346D6AF8,129.7,NA,F1,F,11,2,1,N,MF,122.9,109.2,300.1,0.470855888,42,7.145,3,NA,NA,5/31/2023,6/1/2023,12:00,11:30,353.7,244.5,229.4,119.65,38.2,121.6,200.1,M,NA
0007E8DC8E,121.6,-3.7,M2,M,12,1,1,Y,MF,75.6,146.9,322.75,0.455990393,55,5.9345,3,Y,Y,6/1/2023,6/2/2023,12:30,11:30,345,198.1,277.3,87.1,39.1,122.5,200.7,M,NA
3D6.15346D6AF8,126.5,-3.2,F1,F,12,2,1,Y,MF,98.6,130.4,385.05,0.544009607,57,6.696,3,N,Y,6/1/2023,6/2/2023,12:30,11:30,348.9,218.5,277.3,87.1,38.2,119.9,198.5,M,NA
0007E71B16,149.4,NA,M1,M,13,1,1,N,MM,162.9,61.6,238.45,0.769690123,42,5.677,1,NA,NA,10/16/2023,10/17/2023,11:00,10:30,342.6,281,132.9,156.7,38.2,118.1,200.2,G,23.4
0007E8DC8E,143.8,NA,M2,M,13,2,1,N,MM,150.5,71.3,71.35,0.230309877,14,5.096,1,NA,NA,10/16/2023,10/17/2023,11:00,10:30,337.5,266.2,132.9,156.7,37.6,115.7,200,G,23.4
0007E71B16,138.8,-10.6,M1,M,14,1,1,Y,MM,187.5,53.5,187.2,0.654202341,26,6.8325,1,Y,Y,10/17/2023,10/18/2023,11:15,10:45,365.5,312,128.4,177.15,39.2,124.5,200.3,G,42.35
0007E8DC8E,135.6,-8.2,M2,M,14,2,1,Y,MM,166.8,74.9,98.95,0.345797659,13,6.803,1,N,Y,10/17/2023,10/18/2023,11:15,10:45,365.5,290.6,128.4,177.15,38.6,123.8,200,G,42.35
0007E88FAA,158.9,NA,M3,M,1,1,2,N,MM,126.9,102.4,NA,NA,NA,NA,1,NA,NA,8/28/2023,8/29/2023,12:15,11:15,345.5,243.1,166.1,143.5,39.3,116.2,200.4,G,NA
0777E6FCC1,154.9,NA,M4,M,1,2,2,N,MM,160.1,63.7,181.75,NA,29,6.267,1,NA,NA,8/28/2023,8/29/2023,12:15,11:15,340.8,277.1,166.1,143.5,38.8,117,198,G,NA
0007E88FAA,154.5,-4.4,M3,M,2,1,2,Y,MM,17.9,208.2,174.2,0.629107981,28,3.9965,1,Y,Y,8/29/2023,8/30/2023,12:15,10:30,354.9,146.7,440.3,9.9,40.4,128.8,200.3,G,NA
0777E6FCC1,148.4,-6.5,M4,M,2,2,2,Y,MM,1.9,232.1,102.7,0.370892019,11,6.4155,1,N,Y,8/29/2023,8/30/2023,12:15,10:30,360.5,128.4,440.3,9.9,39.4,126.5,201,G,NA
3D6.15346D6B08,124.5,NA,F3,F,3,1,2,N,FF,176.4,47.2,NA,NA,NA,NA,1,NA,NA,8/30/2023,8/31/2023,12:25,10:15,344.7,297.5,85.8,181.3,39,121.1,200.8,G,NA
384.0AB5D0DF0D,137.6,NA,F4,F,3,2,2,N,FF,186.2,38.6,39,NA,12,3.25,1,NA,NA,8/30/2023,8/31/2023,12:25,10:15,344.1,305.5,85.8,181.3,38.3,119.3,200,G,NA
3D6.15346D6B08,115.8,-8.7,F3,F,4,1,2,Y,FF,137.3,89.6,85.6,0.318986398,15,5.4475,1,Y,Y,8/31/2023,9/1/2023,11:30,10:00,348.6,259,128.5,161.25,40,121.7,199.1,G,NA
384.0AB5D0DF0D,124.3,-13.3,F4,F,4,2,2,Y,FF,185.2,38.9,182.75,0.681013602,31,5.6505,1,N,Y,8/31/2023,9/1/2023,11:30,10:00,345.8,306.9,128.5,161.25,39.4,121.7,198.6,G,NA
0007E88FAA,156,NA,M3,M,5,1,2,N,MF,105.9,123.9,209.4,0.457008667,36,5.817,2,NA,NA,9/4/2023,9/5/2023,10:30,10:00,353.6,229.7,193,135.05,38.6,123.8,199.9,G,NA
3D6.15346D6B08,121.9,NA,F3,F,5,2,2,N,MF,164.2,69.1,248.797,0.542991333,39,6.379,2,NA,NA,9/4/2023,9/5/2023,10:30,10:00,354.9,285.8,193,135.05,38.2,121.6,200,G,NA
0007E88FAA,151.4,-4.6,M3,M,6,1,2,Y,MF,123.2,100.8,391.55,0.666014628,57,6.763,2,Y,Y,9/5/2023,9/6/2023,11:00,10:15,356,255.2,237.2,105.65,39.4,132,200.4,G,NA
3D6.15346D6B08,116.3,-5.6,F3,F,6,2,2,Y,MF,88.1,136.4,196.35,0.333985372,44,4.466,2,N,Y,9/5/2023,9/6/2023,11:00,10:15,349.5,213.1,237.2,105.65,38.5,125,200,G,NA
0777E6FCC1,145,NA,M4,M,7,1,2,N,MF,114.8,110.7,292,0.936693025,46,6.348,2,NA,NA,9/6/2023,9/7/2023,12:30,10:15,349,238.3,151.5,149.15,39.4,123.5,203,G,NA
384.0AB5D0DF0D,130.9,NA,F4,F,7,2,2,N,MF,183.5,40.8,19.735,0.063306975,7,2.819,2,NA,NA,9/6/2023,9/7/2023,12:30,10:15,348.6,307.8,151.5,149.15,38.9,124.3,199.8,G,NA
0777E6FCC1,147,2,M4,M,8,1,2,Y,MF,86.4,134.4,233.9,0.69098966,39,4.6535,2,Y,Y,9/7/2023,9/8/2023,11:15,10:00,348.6,214.2,172.4,136.8,39.1,127.8,200.7,G,NA
384.0AB5D0DF0D,121.6,-9.3,F4,F,8,2,2,Y,MF,187.2,38,104.6,0.30901034,20,2.615,2,N,Y,9/7/2023,9/8/2023,11:15,10:00,345.6,307.6,172.4,136.8,38.1,120.4,200.9,G,NA
384.0AB5D0DF0D,122.6,NA,F4,F,9,1,2,N,MF,127.2,97.3,215.35,NA,47,4.582,3,NA,NA,9/11/2023,9/12/2023,11:15,10:45,343.7,246.4,232.5,105.5,38.2,119.2,200.1,G,NA
0007E88FAA,152.7,NA,M3,M,9,2,2,N,MF,83.8,135.2,NA,NA,NA,NA,3,NA,NA,9/11/2023,9/12/2023,11:15,10:45,333.8,198.6,232.5,105.5,37.6,114.8,200.1,G,NA
384.0AB5D0DF0D,120.7,-1.9,F4,F,10,1,2,Y,MF,104.9,127.4,270.75,0.681217763,44,6.1055,3,N,Y,9/12/2023,9/13/2023,11:15,9:30,354.5,227.1,219.4,119.65,39.2,122.2,200.8,G,NA
0007E88FAA,149.6,-3.1,M3,M,10,2,2,Y,MF,134.4,92,126.7,0.318782237,28,4.444,3,Y,Y,9/12/2023,9/13/2023,11:15,9:30,356,264,219.4,119.65,38.7,129.6,200.8,G,NA
3D6.15346D6B08,122.8,NA,F3,F,11,1,2,N,MF,140.4,86.2,230.35,0.641643454,49,4.701,3,NA,NA,9/13/2023,9/14/2023,10:45,10:30,356.3,270.1,229.5,113.3,39.3,129.7,200.1,G,NA
0777E6FCC1,141.5,NA,M4,M,11,2,2,N,MF,86.2,143.3,128.65,0.358356546,23,5.593,3,NA,NA,9/13/2023,9/14/2023,10:45,10:30,357.7,214.4,229.5,113.3,38.3,128.2,200,G,NA
3D6.15346D6B08,119.1,-3.7,F3,F,12,1,2,Y,MF,68.6,158,194,0.528610354,32,6.026,3,N,Y,9/14/2023,9/15/2023,11:15,10:30,350.5,192.5,235.6,108.35,39.8,123.9,201.2,G,NA
0777E6FCC1,145.1,3.6,M4,M,12,2,2,Y,MF,148.1,77.6,173,0.471389646,33,5.2795,3,Y,Y,9/14/2023,9/15/2023,11:15,10:30,354.7,277.1,235.6,108.35,39.2,129,200.9,G,NA
0007E88FAA,150.3,NA,M3,M,13,1,2,N,MM,122.4,101.4,126.25,0.519547325,21,6.012,1,NA,NA,10/4/2023,10/5/2023,12:00,10:30,347.8,246.4,155.9,148.05,39.1,124,200.4,G,NA
0777E6FCC1,147.8,NA,M4,M,13,2,2,N,MM,173.7,54.5,116.75,0.480452675,28,4.17,1,NA,NA,10/4/2023,10/5/2023,12:00,10:30,351.1,296.6,155.9,148.05,38.5,122.9,203.1,G,NA
0007E88FAA,148.6,-1.7,M3,M,14,1,2,Y,MM,95.9,117.4,86.1,0.528707399,14,6.243,1,Y,Y,10/5/2023,10/6/2023,11:30,10:30,345.8,228.4,171.6,128.1,39.1,132.5,200,G,NA
0777E6FCC1,138.1,-9.7,M4,M,14,2,2,Y,MM,160.3,54.2,76.75,0.471292601,22,3.7005,1,N,Y,10/5/2023,10/6/2023,11:30,10:30,338.3,284.1,171.6,128.1,38.6,123.8,200.7,G,NA
0007E6EADD,128.5,NA,F5,F,1,1,3,N,MF,128.3,105.3,89.8,0.194772801,23,3.904,1,NA,NA,9/18/2023,9/19/2023,11:00,10:30,352.3,247,251.7,107.6,38.3,118.7,200.4,G,NA
0007E6F907,163.1,NA,M5,M,1,2,3,N,MF,86.9,146.4,371.25,0.805227199,50,7.425,1,NA,NA,9/18/2023,9/19/2023,11:00,10:30,348.8,202.4,251.7,107.6,37.6,115.5,200.7,G,NA
0007E6EADD,122.9,-5.6,F5,F,2,1,3,Y,MF,146.4,88,146.15,0.342432052,30,4.776,1,N,Y,9/19/2023,9/20/2023,11:45,10:15,359.6,271.6,192.9,137.55,39,125.2,200,G,NA
0007E6F907,158.6,-4.5,M5,M,2,2,3,Y,MF,128.7,104.9,280.65,0.657567948,37,8.1265,1,Y,Y,9/19/2023,9/20/2023,11:45,10:15,357.2,252.3,192.9,137.55,38.4,123.6,200,G,NA
0007E70632,128.3,NA,F6,F,3,1,3,N,MF,137.9,93.3,244.75,0.476956056,44,5.563,1,NA,NA,9/20/2023,9/21/2023,11:15,11:00,354.9,261.6,231.4,113.85,39.1,123.7,200.1,G,NA
0007E71AF0,162.8,NA,M6,M,3,2,3,N,MF,89.8,138.1,268.4,0.523043944,65,4.129,1,NA,NA,9/20/2023,9/21/2023,11:15,11:00,357.6,219.5,231.4,113.85,38.2,129.7,200.8,G,NA
0007E70632,123.1,-5.2,F6,F,4,1,3,Y,MF,125.2,87.7,159.5,0.433129667,31,6.356,1,N,Y,9/21/2023,9/22/2023,12:00,10:30,338.5,250.8,241.4,92.35,39.1,125.6,200.4,M,NA
0007E71AF0,159.3,-3.5,M6,M,4,2,3,Y,MF,59.5,153.7,208.75,0.566870333,39,6.4985,1,Y,Y,9/21/2023,9/22/2023,12:00,10:30,338.4,184.7,241.4,92.35,38.3,125.2,200.7,M,NA
0007E6EADD,128.5,NA,F5,F,5,1,3,N,MF,158.6,67.7,95,0.305810398,21,4.524,2,N,NA,9/25/2023,9/26/2023,11:15,11:00,343.8,276.1,172,141.85,38.2,117.5,200,G,NA
0007E71AF0,160.4,NA,M6,M,5,2,3,N,MF,125.1,104.3,215.65,0.694189602,59,3.655,2,Y,NA,9/25/2023,9/26/2023,11:15,11:00,344.4,240.1,172,141.85,37.6,115,199.9,G,NA
0007E6EADD,120.3,-8.2,F5,F,6,1,3,Y,MF,95.9,140.7,218.65,0.594804135,30,6.5115,2,N,Y,9/26/2023,9/27/2023,12:00,12:45,360.4,219.7,258.2,103.9,39.1,123.8,199.6,G,NA
0007E71AF0,158.3,-2.1,M6,M,6,2,3,Y,MF,111.9,117.5,148.95,0.405195865,33,4.5985,2,Y,Y,9/26/2023,9/27/2023,12:00,12:45,350.1,232.6,258.2,103.9,38.2,120.7,200.3,G,NA
0007E70632,128.7,NA,F6,F,7,1,3,N,MF,125.6,109.1,162.2,0.540486504,30,5.407,2,NA,NA,10/2/2023,10/3/2023,11:00,10:30,352.2,243.1,222.6,121.95,38.3,117.5,200,G,33.3
0007E6F907,162.1,NA,M5,M,7,2,3,N,MF,118.3,113.5,137.9,0.459513496,26,5.304,2,NA,NA,10/2/2023,10/3/2023,11:00,10:30,347.5,234,222.6,121.95,37.6,115.7,200.1,G,33.3
0007E70632,125,-3.7,F6,F,8,1,3,Y,MF,129.8,94.6,188.35,0.494876511,31,6.6805,2,N,Y,10/3/2023,10/4/2023,11:30,10:30,348.1,253.5,202.6,124.1,38.9,123.7,202,G,NA
0007E6F907,157,-5.1,M5,M,8,2,3,Y,MF,118.4,108,192.25,0.505123489,29,6.597,2,Y,Y,10/3/2023,10/4/2023,11:30,10:30,347.2,239.2,202.6,124.1,38.3,120.8,201.4,G,NA
0007E71AF0,158,NA,M6,M,9,1,3,N,MM,108.4,113.4,258.9,0.557013769,40,6.472,3,NA,NA,10/9/2023,10/10/2023,10:45,10:15,340.9,227.5,225.8,109.1,38.2,119.1,201.3,G,NA
0007E6F907,157,NA,M5,M,9,2,3,N,MM,109.8,112.4,205.9,0.442986231,32,6.434,3,NA,NA,10/9/2023,10/10/2023,10:45,10:15,337.8,225.4,225.8,109.1,37.6,115.6,200.3,G,NA
0007E71AF0,157.9,-0.1,M6,M,10,1,3,Y,MM,43.8,174.7,290.85,0.580654821,32,9.2915,3,N,Y,10/10/2023,10/11/2023,11:15,10:15,342.4,167.7,278.7,79.1,39.3,123.9,200.2,G,18.3
0007E6F907,155.6,-1.4,M5,M,10,2,3,Y,MM,114.4,104,210.05,0.419345179,28,7.288,3,Y,Y,10/10/2023,10/11/2023,11:15,10:15,340.4,236.4,278.7,79.1,38.4,122,200.1,G,18.3
0007E6EADD,137.8,NA,F5,F,11,1,3,N,FF,187.3,34.1,11,0.077683616,7,1.571,3,NA,NA,10/11/2023,10/12/2023,12:00,10:30,350.3,316.2,129.9,155.9,39.6,128.9,201.3,G,20.9
0007E70632,124.1,NA,F6,F,11,2,3,N,FF,124.5,95.8,130.6,0.922316384,27,4.837,3,NA,NA,10/11/2023,10/12/2023,12:00,10:30,348,252.2,129.9,155.9,38.8,127.7,199.9,G,20.9
0007E6EADD,123.5,-14.3,F5,F,12,1,3,Y,FF,123.8,94.1,55.1,0.19802336,12,4.7775,3,Y,Y,10/12/2023,10/13/2023,12:30,10:15,344.7,250.6,123.2,156.35,39.3,126.8,200.2,G,NA
0007E70632,120.6,-3.5,F6,F,12,2,3,Y,FF,188.9,29.1,223.15,0.80197664,30,6.235,3,N,Y,10/12/2023,10/13/2023,12:30,10:15,342.7,313.6,123.2,156.35,38.4,124.7,200,G,NA
